annee,code,doses,actes,taux_urgences,taux_hospit,taux_sos,prediction_2025,region
2024,24,5880.0,3741.0,609.8756020388174,386.0825566014259,4234.04245837209,6219.33958739473,centre_val_de_loire
2024,24,543.0,347.0,609.8756020388174,386.0825566014259,4234.04245837209,171.56627854774706,centre_val_de_loire
2024,27,5490.0,3109.0,875.7927266106234,707.8132409055612,4641.513376573008,5488.0666785168,bourgogne_et_franche_comte
2024,27,503.0,277.0,875.7927266106234,707.8132409055612,4641.513376573008,441.72194939048495,bourgogne_et_franche_comte
2024,28,5908.0,3882.0,929.892410819049,713.6571710746788,5477.873527702363,6403.135283047799,normandie
2024,28,610.0,396.0,929.892410819049,713.6571710746788,5477.873527702363,191.42704655986745,normandie
2024,32,5789.0,2998.0,1006.4887319423968,839.9611852389623,4205.749579074037,5602.626912838081,hauts_de_france
2024,32,590.0,316.0,1006.4887319423968,839.9611852389623,4205.749579074037,823.5673918223474,hauts_de_france
2024,44,5429.0,3246.0,996.1658518514248,962.0234717973084,4852.991575620005,5582.627116611111,grand_est
2024,44,514.0,304.0,996.1658518514248,962.0234717973084,4852.991575620005,340.2732348705176,grand_est
2024,52,5824.0,3624.0,665.7640605699117,648.6796448916945,4234.04245837209,6161.303075400996,pays_de_la_loire
2024,52,543.0,342.0,665.7640605699117,648.6796448916945,4234.04245837209,313.1027219432872,pays_de_la_loire
2024,53,6097.0,3747.0,775.2725124226564,686.2393354721148,4234.04245837209,6419.3256661902415,bretagne
2024,53,627.0,390.0,775.2725124226564,686.2393354721148,4234.04245837209,437.48270867730025,bretagne
2024,75,5803.0,3367.0,791.5845315363329,688.6480385055328,4668.162837578858,5836.494523114525,nouvelle_aquitaine
2024,75,554.0,319.0,791.5845315363329,688.6480385055328,4668.162837578858,405.2590943091782,nouvelle_aquitaine
2024,76,5630.0,3400.0,666.7435165707076,704.8954231605061,4234.04245837209,5866.348890747875,occitanie
2024,76,492.0,299.0,666.7435165707076,704.8954231605061,4234.04245837209,340.67268841003533,occitanie
2024,84,5461.0,3116.0,819.4954741391142,823.0097881946789,4442.718286911195,5448.724542920128,auvergne_et_rhone_alpes
2024,84,491.0,274.0,819.4954741391142,823.0097881946789,4442.718286911195,384.5607999198837,auvergne_et_rhone_alpes
2024,94,4468.0,1539.0,1055.4085809319192,843.4642135952454,3615.578264306377,3636.9088287184713,corse
2024,94,409.0,138.0,1055.4085809319192,843.4642135952454,3615.578264306377,1140.464984966442,corse
