annee,code,doses,taux_urgences,taux_hospit,taux_sos,annee_predite,actes,predictionactes,region
2024,24,5880,609.8756020388174,386.0825566014259,4234.04245837209,2025,3741,3542.8716923095053,centre_val_de_loire
2024,24,543,609.8756020388174,386.0825566014259,4234.04245837209,2025,347,753.6898753955029,centre_val_de_loire
2024,27,5490,875.7927266106234,707.8132409055612,4641.513376573008,2025,3109,3281.8915880952263,bourgogne_et_franche_comte
2024,27,503,875.7927266106234,707.8132409055612,4641.513376573008,2025,277,492.7097711812239,bourgogne_et_franche_comte
2024,28,5908,929.892410819049,713.6571710746788,5477.873527702363,2025,3882,3277.7554603553144,normandie
2024,28,610,929.892410819049,713.6571710746788,5477.873527702363,2025,396,488.573643441312,normandie
2024,32,5789,1006.4887319423968,839.9611852389623,4205.749579074037,2025,2998,3174.4574712584727,hauts_de_france
2024,32,590,1006.4887319423968,839.9611852389623,4205.749579074037,2025,316,385.27565434447024,hauts_de_france
2024,44,5429,996.1658518514248,962.0234717973084,4852.991575620005,2025,3246,3072.1341292578727,grand_est
2024,44,514,996.1658518514248,962.0234717973084,4852.991575620005,2025,304,282.9523123438703,grand_est
2024,52,5824,665.7640605699117,648.6796448916945,4234.04245837209,2025,3624,3323.595058598323,pays_de_la_loire
2024,52,543,665.7640605699117,648.6796448916945,4234.04245837209,2025,342,534.4132416843204,pays_de_la_loire
2024,53,6097,775.2725124226564,686.2393354721148,4234.04245837209,2025,3747,3294.2181069678627,bretagne
2024,53,627,775.2725124226564,686.2393354721148,4234.04245837209,2025,390,505.0362900538603,bretagne
2024,75,5803,791.5845315363329,688.6480385055328,4668.162837578858,2025,3367,3289.191298427293,nouvelle_aquitaine
2024,75,554,791.5845315363329,688.6480385055328,4668.162837578858,2025,319,500.00948151329067,nouvelle_aquitaine
2024,76,5630,666.7435165707076,704.8954231605061,4234.04245837209,2025,3400,3273.7916424174327,occitanie
2024,76,492,666.7435165707076,704.8954231605061,4234.04245837209,2025,299,484.60982550343033,occitanie
2024,84,5461,819.4954741391142,823.0097881946789,4442.718286911195,2025,3116,3177.7820570772747,auvergne_et_rhone_alpes
2024,84,491,819.4954741391142,823.0097881946789,4442.718286911195,2025,274,388.60024016327225,auvergne_et_rhone_alpes
2024,94,4468,1055.4085809319192,843.4642135952454,3615.578264306377,2025,1539,2218.311485744081,corse
2024,94,409,1055.4085809319192,843.4642135952454,3615.578264306377,2025,138,0.0,corse
